NO PANELS,INVERTER SIZE,INVERTER MODEL,PANELS TYPE,Package Name,Invoice Description,PACKAGE Type,Package Price,Nett Price After Discount,DC Cable,DC cable Distance (m),mc4 qty(PAIR),Mounting structure,AC Cable,AC cable  Distance (m),Breaker,PV METER,PVC DB BOX
10,5,1X [3P] SAJ R6 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 10PCS JINKO 650W,"10X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"25,960","21,300",Master Tec 6mm DC Cable,40,10,10,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
11,5,1X [3P] SAJ R6 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 11PCS JINKO 650W,"11X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"27,240","22,320",Master Tec 6mm DC Cable,40,10,11,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
12,5,1X [3P] SAJ R6 5KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 12PCS JINKO 650W,"12X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 5KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"28,590","23,400",Master Tec 6mm DC Cable,40,10,12,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
13,6,1X [3P] SAJ R6 6KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 13PCS JINKO 650W,"13X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 6KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"29,870","24,420",Master Tec 6mm DC Cable,40,10,13,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
14,6,1X [3P] SAJ R6 6KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 14PCS JINKO 650W,"14X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 6KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"31,280","25,540",Master Tec 6mm DC Cable,40,10,14,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
15,8,1X [3P] SAJ R6 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 15PCS JINKO 650W,"15X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 8KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"32,570","26,570",Master Tec 6mm DC Cable,40,10,15,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
16,8,1X [3P] SAJ R6 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 16PCS JINKO 650W,"16X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 8KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"33,840","27,590",Master Tec 6mm DC Cable,40,10,16,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
17,8,1X [3P] SAJ R6 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 17PCS JINKO 650W,"17X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 8KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"35,110","28,610",Master Tec 6mm DC Cable,40,10,17,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
18,8,1X [3P] SAJ R6 8KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 18PCS JINKO 650W,"18X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 8KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"36,400","29,630",Master Tec 6mm DC Cable,40,10,18,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
19,10,1X [3P] SAJ R6 10KW String Inverter,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,COMMERCIAL 19PCS JINKO 650W,"19X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
1X [3P] SAJ R6 10KW String Inverter
1X SEDA ATAP Application
TNB Smart Meter Application
Solar System Architecture Design
Electrical System Design
Roof and Site Surveying
Roof Panel Installation
Electrical Works
SkyLift",commercial,"37,810","30,470",Master Tec 6mm DC Cable,40,10,19,"MEGA Cable AC Cable: 6mm, Earth Cable: 6mm",5,EPS 3P 32A,Three Phase PV meter,10.5way
